"","Beta_Version_CCS_Category","Beta_Version_CCS_Category_Description","count"
"171",204,"Other non-traumatic joint disorders",1019
"172",205,"Spondylosis; intervertebral disc disorders; other back problems",1530
"173",206,"Osteoporosis",2
"174",207,"Pathological fracture",10
"175",208,"Acquired foot deformities",4
"176",209,"Other acquired deformities",24
"177",210,"Systemic lupus erythematosus and connective tissue disorders",8
"178",211,"Other connective tissue disease",1333
"179",212,"Other bone disease and musculoskeletal deformities",121
"180",213,"Cardiac and circulatory congenital anomalies",24
"181",215,"Genitourinary congenital anomalies",11
"182",217,"Other congenital anomalies",20
"183",218,"Liveborn",2
"184",219,"Short gestation; low birth weight; and fetal growth retardation",6
"185",220,"Intrauterine hypoxia and birth asphyxia",1
"186",221,"Respiratory distress syndrome",4
"187",222,"Hemolytic jaundice and perinatal jaundice",7
"188",223,"Birth trauma",2
"189",224,"Other perinatal conditions",69
"190",225,"Joint disorders and dislocations; trauma-related",205
"191",226,"Fracture of neck of femur (hip)",135
"192",227,"Spinal cord injury",1
"193",228,"Skull and face fractures",51
"194",229,"Fracture of upper limb",789
"195",230,"Fracture of lower limb",557
"196",231,"Other fractures",149
"197",232,"Sprains and strains",1211
"198",233,"Intracranial injury",106
"199",234,"Crushing injury or internal injury",30
"200",235,"Open wounds of head; neck; and trunk",792
"201",236,"Open wounds of extremities",721
"202",237,"Complication of device; implant or graft",94
"203",238,"Complications of surgical procedures or medical care",148
"204",239,"Superficial injury; contusion",739
"205",240,"Burns",157
"206",241,"Poisoning by psychotropic agents",2
"207",242,"Poisoning by other medications and drugs",44
"208",243,"Poisoning by nonmedicinal substances",95
"209",244,"Other injuries and conditions due to external causes",3363
"210",245,"Syncope",446
"211",246,"Fever of unknown origin",1934
"212",247,"Lymphadenitis",103
"213",248,"Gangrene",5
"214",249,"Shock",9
"215",250,"Nausea and vomiting",1474
"216",251,"Abdominal pain",3030
"217",252,"Malaise and fatigue",239
"218",253,"Allergic reactions",485
"219",254,"Rehabilitation care; fitting of prostheses; and adjustment of devices",6
"220",255,"Administrative/social admission",17
"221",256,"Medical examination/evaluation",26
"222",257,"Other aftercare",902
"223",258,"Other screening for suspected conditions (not mental disorders or infectious disease)",41
"224",259,"Residual codes; unclassified",587
"225",650,"Adjustment disorders",31
"226",651,"Anxiety disorders",566
"227",652,"Attention-deficit conduct and disruptive behavior disorders",12
"228",653,"Delirium dementia and amnestic and other cognitive disorders",8
"229",655,"Disorders usually diagnosed in infancy childhood or adolescence",5
"230",657,"Mood disorders",106
"231",658,"Personality disorders",4
"232",659,"Schizophrenia and other psychotic disorders",51
"233",660,"Alcohol-related disorders",88
"234",661,"Substance-related disorders",43
"235",662,"Suicide and intentional self-inflicted injury",120
"236",670,"Miscellaneous disorders",67
"237",670,"Miscellaneous mental health disorders",4
"238",2601,"External cause codes:  Cut/pierce",10
"239",2603,"External cause codes:  Fall",105
"240",2605,"External cause codes:  Firearm",5
"241",2607,"External cause codes:  Motor vehicle traffic (MVT)",135
"242",2608,"External cause codes:  Pedal cyclist; not MVT",1
"243",2611,"External cause codes:  Natural/environment",175
"244",2614,"External cause codes:  Struck by; against",5
"245",2616,"Adverse effects of medical care",1
"246",2617,"Adverse effects of medical drugs",16
"247",2618,"External cause codes:  Other specified and classifiable",3
"248",2620,"External cause codes:  Unspecified",2
"249",2621,"External cause codes:  Place of occurrence",1
