"","ccsCode","ccsCodeDesc","count"
"106","205","Spondylosis; intervertebral disc disorders; other back problems",1448
"107","206","Osteoporosis",2
"108","207","Pathological fracture",8
"109","208","Acquired foot deformities",4
"110","209","Other acquired deformities",24
"111","21","Cancer of bone and connective tissue",1
"112","210","Systemic lupus erythematosus and connective tissue disorders",6
"113","211","Other connective tissue disease",1136
"114","212","Other bone disease and musculoskeletal deformities",89
"115","213","Cardiac and circulatory congenital anomalies",1
"116","215","Genitourinary congenital anomalies",7
"117","217","Other congenital anomalies",8
"118","22","Melanomas of skin",1
"119","223","Birth trauma",1
"120","224","Other perinatal conditions",1
"121","225","Joint disorders and dislocations; trauma-related",102
"122","226","Fracture of neck of femur (hip)",129
"123","227","Spinal cord injury",1
"124","228","Skull and face fractures",42
"125","229","Fracture of upper limb",519
"126","230","Fracture of lower limb",435
"127","231","Other fractures",138
"128","232","Sprains and strains",965
"129","233","Intracranial injury",77
"130","234","Crushing injury or internal injury",23
"131","235","Open wounds of head; neck; and trunk",308
"132","236","Open wounds of extremities",567
"133","237","Complication of device; implant or graft",86
"134","238","Complications of surgical procedures or medical care",128
"135","239","Superficial injury; contusion",512
"136","24","Cancer of breast",6
"137","240","Burns",108
"138","241","Poisoning by psychotropic agents",2
"139","242","Poisoning by other medications and drugs",18
"140","243","Poisoning by nonmedicinal substances",62
"141","244","Other injuries and conditions due to external causes",2277
"142","245","Syncope",397
"143","246","Fever of unknown origin",824
"144","247","Lymphadenitis",49
"145","248","Gangrene",3
"146","249","Shock",9
"147","250","Nausea and vomiting",918
"148","251","Abdominal pain",2526
"149","252","Malaise and fatigue",220
"150","253","Allergic reactions",325
"151","254","Rehabilitation care; fitting of prostheses; and adjustment of devices",4
"152","255","Administrative/social admission",12
"153","256","Medical examination/evaluation",13
"154","257","Other aftercare",594
"155","258","Other screening for suspected conditions (not mental disorders or infectious disease)",34
"156","259","Residual codes; unclassified",492
"157","2601","External cause codes:  Cut/pierce",7
"158","2603","External cause codes:  Fall",97
"159","2605","External cause codes:  Firearm",3
"160","2607","External cause codes:  Motor vehicle traffic (MVT)",126
"161","2611","External cause codes:  Natural/environment",119
"162","2614","External cause codes:  Struck by; against",4
"163","2616","Adverse effects of medical care",1
"164","2617","Adverse effects of medical drugs",9
"165","2618","External cause codes:  Other specified and classifiable",2
"166","2620","External cause codes:  Unspecified",1
"167","2621","External cause codes:  Place of occurrence",1
"168","27","Cancer of ovary",2
"169","29","Cancer of prostate",5
"170","3","Bacterial infection; unspecified site",20
"171","32","Cancer of bladder",2
"172","33","Cancer of kidney and renal pelvis",2
"173","34","Cancer of other urinary organs",1
"174","35","Cancer of brain and nervous system",2
"175","36","Cancer of thyroid",1
"176","37","Hodgkin`s disease",2
"177","38","Non-Hodgkin`s lymphoma",9
"178","39","Leukemias",21
"179","4","Mycoses",28
"180","40","Multiple myeloma",7
"181","41","Cancer; other and unspecified primary",1
"182","42","Secondary malignancies",32
"183","43","Malignant neoplasm without specification of site",8
"184","44","Neoplasms of unspecified nature or uncertain behavior",19
"185","45","Maintenance chemotherapy; radiotherapy",2
"186","46","Benign neoplasm of uterus",5
"187","47","Other and unspecified benign neoplasm",25
"188","48","Thyroid disorders",26
"189","49","Diabetes mellitus without complication",46
"190","50","Diabetes mellitus with complications",47
"191","51","Other endocrine disorders",28
"192","52","Nutritional deficiencies",4
"193","53","Disorders of lipid metabolism",2
"194","54","Gout and other crystal arthropathies",36
"195","55","Fluid and electrolyte disorders",229
"196","57","Immunity disorders",7
"197","58","Other nutritional; endocrine; and metabolic disorders",47
"198","59","Deficiency and other anemia",135
"199","6","Hepatitis",3
"200","61","Sickle cell anemia",17
"201","62","Coagulation and hemorrhagic disorders",52
"202","63","Diseases of white blood cells",94
"203","64","Other hematologic conditions",8
"204","650","Adjustment disorders",30
"205","651","Anxiety disorders",504
"206","652","Attention-deficit conduct and disruptive behavior disorders",5
"207","653","Delirium dementia and amnestic and other cognitive disorders",7
"208","655","Disorders usually diagnosed in infancy childhood or adolescence",3
"209","657","Mood disorders",98
"210","658","Personality disorders",4
"211","659","Schizophrenia and other psychotic disorders",47
"212","660","Alcohol-related disorders",80
"213","661","Substance-related disorders",38
"214","662","Suicide and intentional self-inflicted injury",103
"215","670","Miscellaneous mental health disorders",66
"216","7","Viral infection",904
"217","76","Meningitis (except that caused by tuberculosis or sexually transmitted disease)",15
"218","77","Encephalitis (except that caused by tuberculosis or sexually transmitted disease)",9
"219","79","Parkinson`s disease",3
"220","8","Other infections; including parasitic",36
"221","80","Multiple sclerosis",10
"222","81","Other hereditary and degenerative nervous system conditions",15
"223","82","Paralysis",4
"224","83","Epilepsy; convulsions",131
"225","84","Headache; including migraine",1145
"226","85","Coma; stupor; and brain damage",36
"227","86","Cataract",1
"228","87","Retinal detachments; defects; vascular occlusion; and retinopathy",22
"229","88","Glaucoma",9
"230","89","Blindness and vision defects",37
"231","9","Sexually transmitted infections (not HIV or hepatitis)",4
"232","90","Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)",223
"233","91","Other eye disorders",259
"234","92","Otitis media and related conditions",133
"235","93","Conditions associated with dizziness or vertigo",1151
"236","94","Other ear and sense organ disorders",295
"237","95","Other nervous system disorders",383
"238","96","Heart valve disorders",11
"239","97","Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)",36
"240","98","Essential hypertension",494
"241","99","Hypertension with complications and secondary hypertension",83
