"","ccsCode","ccsCodeDesc","count"
"135","244","Other injuries and conditions due to external causes",2817
"136","245","Syncope",269
"137","246","Fever of unknown origin",885
"138","247","Lymphadenitis",18
"139","248","Gangrene",1
"140","249","Shock",4
"141","25","Cancer of uterus",1
"142","250","Nausea and vomiting",525
"143","251","Abdominal pain",2321
"144","252","Malaise and fatigue",223
"145","253","Allergic reactions",350
"146","254","Rehabilitation care; fitting of prostheses; and adjustment of devices",4
"147","255","Administrative/social admission",2
"148","256","Medical examination/evaluation",38
"149","257","Other aftercare",33
"150","258","Other screening for suspected conditions (not mental disorders or infectious disease)",27
"151","259","Residual codes; unclassified",114
"152","26","Cancer of cervix",2
"153","2601","External cause codes:  Cut/pierce",3
"154","2603","External cause codes:  Fall",23
"155","2604","External cause codes:  Fire/burn",1
"156","2605","External cause codes:  Firearm",2
"157","2607","External cause codes:  Motor vehicle traffic (MVT)",22
"158","2611","External cause codes:  Natural/environment",5
"159","2614","External cause codes:  Struck by; against",3
"160","2618","External cause codes:  Other specified and classifiable",3
"161","2620","External cause codes:  Unspecified",4
"162","29","Cancer of prostate",2
"163","3","Bacterial infection; unspecified site",7
"164","30","Cancer of testis",2
"165","32","Cancer of bladder",11
"166","33","Cancer of kidney and renal pelvis",10
"167","35","Cancer of brain and nervous system",13
"168","37","Hodgkin`s disease",10
"169","38","Non-Hodgkin`s lymphoma",27
"170","39","Leukemias",49
"171","4","Mycoses",9
"172","40","Multiple myeloma",10
"173","41","Cancer; other and unspecified primary",1
"174","42","Secondary malignancies",1
"175","43","Malignant neoplasm without specification of site",136
"176","44","Neoplasms of unspecified nature or uncertain behavior",7
"177","45","Maintenance chemotherapy; radiotherapy",24
"178","46","Benign neoplasm of uterus",8
"179","47","Other and unspecified benign neoplasm",27
"180","48","Thyroid disorders",8
"181","49","Diabetes mellitus without complication",95
"182","5","HIV infection",1
"183","50","Diabetes mellitus with complications",41
"184","51","Other endocrine disorders",31
"185","52","Nutritional deficiencies",3
"186","53","Disorders of lipid metabolism",17
"187","54","Gout and other crystal arthropathies",14
"188","55","Fluid and electrolyte disorders",74
"189","57","Immunity disorders",2
"190","58","Other nutritional; endocrine; and metabolic disorders",26
"191","59","Deficiency and other anemia",63
"192","6","Hepatitis",7
"193","60","Acute posthemorrhagic anemia",10
"194","61","Sickle cell anemia",22
"195","62","Coagulation and hemorrhagic disorders",22
"196","63","Diseases of white blood cells",90
"197","64","Other hematologic conditions",3
"198","649",NA,12
"199","650","Adjustment disorders",9
"200","651","Anxiety disorders",388
"201","653","Delirium dementia and amnestic and other cognitive disorders",12
"202","654","Developmental disorders",11
"203","6541","Communication disorders",9
"204","656","Impulse control disorders NEC",1
"205","657","Mood disorders",80
"206","6571","Bipolar disorders",23
"207","6572","Depressive disorders",55
"208","658","Personality disorders",4
"209","659","Schizophrenia and other psychotic disorders",36
"210","660","Alcohol-related disorders",73
"211","661","Substance-related disorders",12
"212","662","Suicide and intentional self-inflicted injury",3
"213","663","Screening and history of mental health and substance abuse codes",2
"214","6632","Codes related to substance-related disorders",2
"215","670","Miscellaneous mental health disorders",113
"216","6704","Psychogenic disorders",5
"217","6707","Somatoform disorders",100
"218","6709","Other miscellaneous mental conditions",5
"219","7","Viral infection",234
"220","76","Meningitis (except that caused by tuberculosis or sexually transmitted disease)",5
"221","77","Encephalitis (except that caused by tuberculosis or sexually transmitted disease)",5
"222","78","Other CNS infection and poliomyelitis",2
"223","79","Parkinson`s disease",16
"224","8","Other infections; including parasitic",18
"225","80","Multiple sclerosis",23
"226","81","Other hereditary and degenerative nervous system conditions",18
"227","82","Paralysis",2
"228","83","Epilepsy; convulsions",90
"229","84","Headache; including migraine",839
"230","85","Coma; stupor; and brain damage",91
"231","86","Cataract",3
"232","87","Retinal detachments; defects; vascular occlusion; and retinopathy",12
"233","88","Glaucoma",11
"234","89","Blindness and vision defects",40
"235","9","Sexually transmitted infections (not HIV or hepatitis)",1
"236","90","Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)",225
"237","91","Other eye disorders",301
"238","92","Otitis media and related conditions",74
"239","93","Conditions associated with dizziness or vertigo",711
"240","94","Other ear and sense organ disorders",275
"241","95","Other nervous system disorders",306
"242","96","Heart valve disorders",35
"243","97","Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)",55
"244","98","Essential hypertension",583
"245","99","Hypertension with complications and secondary hypertension",28
