"","ccsCodeDesc","0-5","13-18","19-44","45-64","6-12",">65","<NA>"
"59","Chronic obstructive pulmonary disease and bronchiectasis",10,4,126,139,8,217,NA
"60","Chronic ulcer of skin",NA,NA,3,4,1,15,NA
"61","Coagulation and hemorrhagic disorders",12,5,18,17,12,16,NA
"62","Codes related to substance-related disorders",NA,NA,NA,NA,NA,NA,NA
"63","Coma; stupor; and brain damage",1,3,14,8,2,13,NA
"64","Communication disorders",NA,NA,NA,NA,NA,NA,NA
"65","Complication of device; implant or graft",4,3,15,15,NA,56,NA
"66","Complications of surgical procedures or medical care",7,4,54,32,2,41,NA
"67","Conditions associated with dizziness or vertigo",1,41,518,342,18,280,NA
"68","Conduction disorders",NA,NA,1,4,NA,18,NA
"69","Congestive heart failure; nonhypertensive",1,NA,4,42,NA,192,NA
"70","Coronary atherosclerosis and other heart disease",NA,NA,7,51,NA,57,NA
"71","Crushing injury or internal injury",4,1,10,7,NA,5,NA
"72","Cystic fibrosis",NA,NA,NA,NA,NA,NA,NA
"73","Deficiency and other anemia",7,4,44,24,13,66,NA
"74","Delirium dementia and amnestic and other cognitive disorders",NA,NA,2,1,NA,3,NA
"75","Depressive disorders",NA,NA,NA,NA,NA,NA,NA
"76","Developmental disorders",NA,NA,NA,NA,NA,NA,NA
"77","Diabetes mellitus with complications",1,3,15,13,8,19,NA
"78","Diabetes mellitus without complication",2,1,26,7,5,11,NA
"79","Digestive congenital anomalies",NA,NA,NA,NA,NA,NA,NA
"80","Diseases of mouth; excluding dental",25,5,43,36,11,17,NA
"81","Diseases of white blood cells",39,24,33,37,44,24,NA
"82","Disorders of lipid metabolism",NA,NA,NA,2,NA,NA,NA
"83","Disorders of teeth and jaw",9,5,81,17,15,8,NA
"84","Disorders usually diagnosed in infancy childhood or adolescence",1,NA,2,NA,1,NA,NA
"85","Diverticulosis and diverticulitis",NA,NA,10,44,NA,32,NA
"86","Early or threatened labor",NA,NA,2,NA,NA,NA,NA
"87","Ectopic pregnancy",NA,NA,18,NA,NA,NA,NA
"88","Encephalitis (except that caused by tuberculosis or sexually transmitted disease)",1,NA,4,2,NA,3,NA
"89","Endometriosis",NA,NA,8,1,NA,NA,NA
"90","Epilepsy; convulsions",48,22,54,37,31,38,NA
"91","Esophageal disorders",8,4,52,22,2,8,NA
"92","Essential hypertension",NA,2,55,175,1,258,NA
"93","External cause codes:  Cut/pierce",NA,1,6,1,1,NA,NA
"94","External cause codes:  Fall",7,NA,28,17,1,52,NA
"95","External cause codes:  Firearm",NA,NA,3,NA,1,NA,NA
"96","External cause codes:  Fire/burn",NA,NA,NA,NA,NA,NA,NA
"97","External cause codes:  Machinery",NA,NA,NA,NA,NA,NA,NA
"98","External cause codes:  Motor vehicle traffic (MVT)",NA,5,95,20,4,8,NA
"99","External cause codes:  Natural/environment",19,14,81,24,19,12,NA
"100","External cause codes:  Other specified and classifiable",1,NA,2,NA,NA,NA,NA
"101","External cause codes:  Pedal cyclist; not MVT",NA,1,NA,NA,NA,NA,NA
"102","External cause codes:  Pedestrian; not MVT",NA,NA,NA,NA,NA,NA,NA
"103","External cause codes:  Struck by; against",NA,NA,3,1,1,NA,NA
"104","External cause codes:  Unspecified",NA,1,1,NA,NA,NA,NA
"105","Female infertility",NA,NA,1,NA,NA,NA,NA
"106","Fetopelvic disproportion; obstruction",NA,NA,NA,NA,NA,NA,NA
"107","Fever of unknown origin",729,68,279,234,253,308,NA
"108","Fluid and electrolyte disorders",37,6,57,44,14,128,NA
"109","Fracture of lower limb",18,42,211,135,51,89,NA
"110","Fracture of neck of femur (hip)",NA,3,7,6,NA,114,NA
"111","Fracture of upper limb",61,73,220,156,124,139,NA
"112","Gangrene",NA,NA,NA,NA,NA,3,NA
"113","Gastritis and duodenitis",21,32,221,61,45,15,NA
"114","Gastroduodenal ulcer (except hemorrhage)",NA,NA,2,NA,NA,2,NA
"115","Gastrointestinal hemorrhage",20,4,28,43,3,114,NA
"116","Genitourinary congenital anomalies",2,NA,4,1,1,1,NA
"117","Genitourinary symptoms and ill-defined conditions",33,12,77,79,17,200,NA
"118","Glaucoma",NA,1,2,5,1,2,NA
"119","Gout and other crystal arthropathies",NA,NA,12,13,NA,11,NA
"120","Headache; including migraine",21,54,789,259,72,90,NA
"121","Heart valve disorders",NA,1,NA,1,NA,4,NA
"122","Hemolytic jaundice and perinatal jaundice",7,NA,NA,NA,NA,NA,NA
"123","Hemorrhage during pregnancy; abruptio placenta; placenta previa",NA,NA,103,NA,NA,NA,NA
"124","Hemorrhoids",NA,2,48,16,NA,6,NA
"125","Hepatitis",1,1,2,1,NA,NA,NA
"126","HIV infection",NA,NA,NA,NA,NA,NA,NA
"127","Hodgkin`s disease",NA,NA,1,NA,NA,NA,NA
"128","Hyperplasia of prostate",NA,NA,NA,8,NA,8,NA
"129","Hypertension complicating pregnancy; childbirth and the puerperium",NA,NA,2,1,NA,NA,NA
"130","Hypertension with complications and secondary hypertension",NA,NA,7,27,1,49,NA
"131","Immunity disorders",3,2,6,1,1,NA,NA
"132","Immunizations and screening for infectious disease",4,NA,5,NA,2,NA,NA
"133","Impulse control disorders NEC",NA,NA,NA,NA,NA,NA,NA
"134","Induced abortion",NA,NA,3,NA,NA,NA,NA
"135","Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)",2,NA,3,11,NA,10,NA
"136","Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)",27,8,126,56,14,39,NA
"137","Inflammatory conditions of male genital organs",2,8,49,59,12,75,NA
"138","Inflammatory diseases of female pelvic organs",1,NA,25,2,NA,NA,NA
"139","Influenza",123,32,237,71,82,54,NA
"140","Intestinal infection",187,29,179,30,99,15,NA
"141","Intestinal obstruction without hernia",8,2,25,36,6,54,NA
"142","Intracranial injury",6,7,41,10,13,24,NA
"143","Intrauterine hypoxia and birth asphyxia",NA,NA,NA,NA,NA,NA,NA
"144","Joint disorders and dislocations; trauma-related",81,9,66,20,11,15,NA
"145","Late effects of cerebrovascular disease",NA,NA,NA,NA,NA,1,NA
"146","Leukemias",9,8,7,11,8,3,NA
"147","Liveborn",NA,NA,NA,NA,NA,NA,NA
"148","Lung disease due to external agents",NA,NA,NA,1,NA,NA,NA
"149","Lymphadenitis",12,16,37,10,23,NA,NA
"150","Maintenance chemotherapy; radiotherapy",NA,NA,1,NA,1,1,NA
"151","Malaise and fatigue",4,4,79,51,4,90,NA
"152","Malignant neoplasm without specification of site",NA,1,1,3,NA,4,NA
"153","Malposition; malpresentation",NA,NA,NA,NA,NA,NA,NA
"154","Medical examination/evaluation",9,1,8,2,2,2,NA
"155","Melanomas of skin",NA,NA,NA,1,NA,NA,NA
"156","Meningitis (except that caused by tuberculosis or sexually transmitted disease)",4,3,12,2,7,1,NA
"157","Menopausal disorders",NA,NA,1,1,NA,1,NA
"158","Menstrual disorders",NA,4,119,9,1,NA,NA
"159","Miscellaneous mental health disorders",1,NA,46,14,1,5,NA
"160","Mood disorders",NA,5,70,18,1,9,NA
"161","Multiple myeloma",NA,NA,NA,4,NA,3,NA
"162","Multiple sclerosis",NA,NA,7,3,NA,NA,NA
"163","Mycoses",1,NA,20,5,2,3,NA
"164","Nausea and vomiting",285,79,630,162,153,121,NA
"165","Neoplasms of unspecified nature or uncertain behavior",4,4,6,4,3,9,NA
"166","Nephritis; nephrosis; renal sclerosis",NA,1,2,NA,1,NA,NA
"167","Nervous system congenital anomalies",NA,NA,NA,NA,NA,NA,NA
"168","Non-Hodgkin`s lymphoma",NA,1,2,2,NA,5,NA
"169","Noninfectious gastroenteritis",214,90,877,169,160,69,NA
"170","Nonmalignant breast conditions",1,2,55,23,NA,6,NA
"171","Nonspecific chest pain",8,34,763,651,36,352,1
"172","Nutritional deficiencies",1,NA,2,1,NA,1,NA
"173","Occlusion or stenosis of precerebral arteries",NA,NA,NA,NA,NA,NA,NA
"174","Open wounds of extremities",38,35,369,133,74,59,NA
"175","Open wounds of head; neck; and trunk",290,26,187,66,148,51,NA
"176","Osteoarthritis",NA,NA,7,19,NA,22,NA
"177","Osteoporosis",NA,NA,NA,NA,NA,2,NA
"178","Other acquired deformities",NA,NA,13,9,NA,2,NA
"179","Other aftercare",120,49,323,127,116,119,NA
"180","Other and ill-defined cerebrovascular disease",NA,NA,NA,NA,NA,1,NA
"181","Other and ill-defined heart disease",2,NA,1,1,NA,1,NA
"182","Other and unspecified benign neoplasm",NA,2,13,8,3,4,NA
"183","Other bone disease and musculoskeletal deformities",1,20,55,23,11,9,NA
"184","Other circulatory disease",3,5,31,38,5,65,NA
"185","Other CNS infection and poliomyelitis",NA,NA,NA,NA,NA,NA,NA
"186","Other complications of birth; puerperium affecting management of mother",1,NA,14,1,NA,1,NA
"187","Other complications of pregnancy",NA,NA,83,1,NA,NA,NA
"188","Other congenital anomalies",4,1,5,1,1,2,NA
"189","Other connective tissue disease",45,58,628,329,80,162,NA
"190","Other diseases of bladder and urethra",NA,NA,4,1,NA,4,NA
"191","Other diseases of kidney and ureters",NA,NA,3,9,NA,4,NA
"192","Other diseases of veins and lymphatics",NA,5,19,4,1,4,NA
"193","Other disorders of stomach and duodenum",1,NA,2,6,NA,3,NA
"194","Other ear and sense organ disorders",48,29,194,61,80,35,NA
"195","Other endocrine disorders",NA,1,10,5,2,13,NA
"196","Other eye disorders",15,10,129,78,9,44,NA
"197","Other female genital disorders",4,4,299,32,NA,6,NA
"198","Other fractures",NA,5,31,49,1,59,NA
"199","Other gastrointestinal disorders",127,26,220,97,72,206,NA
"200","Other hematologic conditions",NA,NA,2,3,1,3,NA
"201","Other hereditary and degenerative nervous system conditions",3,1,6,3,NA,6,NA
"202","Other infections; including parasitic",12,2,19,8,6,9,NA
"203","Other inflammatory condition of skin",6,5,39,12,11,8,NA
"204","Other injuries and conditions due to external causes",326,308,1374,487,398,380,NA
"205","Other liver diseases",27,2,17,8,1,18,NA
"206","Other lower respiratory disease",200,62,606,382,81,527,NA
"207","Other male genital disorders",13,12,45,7,18,5,NA
"208","Other miscellaneous mental conditions",NA,NA,NA,NA,NA,NA,NA
"209","Other nervous system disorders",20,10,184,111,10,85,NA
"210","Other non-epithelial cancer of skin",NA,NA,NA,NA,NA,NA,NA
"211","Other non-traumatic joint disorders",15,56,477,253,54,140,NA
"212","Other nutritional; endocrine; and metabolic disorders",31,4,6,15,3,26,NA
"213","Other perinatal conditions",59,1,1,NA,NA,NA,NA
"214","Other pregnancy and delivery including normal",1,NA,3,NA,NA,NA,NA
"215","Other screening for suspected conditions (not mental disorders or infectious disease)",3,1,5,10,1,19,NA
"216","Other skin disorders",121,53,321,111,69,57,NA
"217","Other upper respiratory disease",46,16,122,47,31,98,NA
"218","Other upper respiratory infections",726,102,1309,230,379,102,NA
"219","Otitis media and related conditions",433,21,99,27,112,6,NA
"220","Ovarian cyst",NA,2,41,2,NA,1,NA
"221","Pancreatic disorders (not diabetes)",1,1,23,28,3,27,NA
"222","Paralysis",NA,NA,NA,2,NA,2,NA
"223","Parkinson`s disease",NA,NA,NA,NA,NA,3,NA
"224","Pathological fracture",NA,NA,2,1,1,5,NA
"225","Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)",3,1,15,7,NA,11,NA
"226","Peripheral and visceral atherosclerosis",NA,NA,NA,6,NA,6,NA
"227","Peritonitis and intestinal abscess",NA,NA,4,3,1,7,NA
"228","Personality disorders",NA,NA,2,1,NA,1,NA
"229","Phlebitis; thrombophlebitis and thromboembolism",NA,NA,17,38,NA,25,NA
"230","Pleurisy; pneumothorax; pulmonary collapse",1,2,10,14,1,22,NA
"231","Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",164,24,220,220,84,462,NA
"232","Poisoning by nonmedicinal substances",10,11,49,11,8,2,NA
"233","Poisoning by other medications and drugs",18,2,14,2,6,2,NA
"234","Poisoning by psychotropic agents",NA,NA,1,NA,NA,1,NA
"235","Polyhydramnios and other problems of amniotic cavity",NA,NA,1,NA,NA,NA,NA
"236","Previous C-section",NA,NA,1,NA,NA,NA,NA
"237","Prolapse of female genital organs",NA,NA,NA,2,NA,3,NA
"238","Psychogenic disorders",NA,NA,NA,NA,NA,NA,NA
"239","Pulmonary heart disease",NA,1,6,8,NA,11,NA
"240","Regional enteritis and ulcerative colitis",NA,6,22,5,2,1,NA
"241","Rehabilitation care; fitting of prostheses; and adjustment of devices",2,NA,NA,1,NA,2,NA
"242","Residual codes; unclassified",20,36,158,89,11,186,NA
"243","Respiratory failure; insufficiency; arrest (adult)",1,NA,1,NA,NA,6,NA
"244","Retinal detachments; defects; vascular occlusion; and retinopathy",NA,NA,3,13,NA,5,NA
"245","Rheumatoid arthritis and related disease",1,1,2,NA,NA,NA,NA
"246","Schizophrenia and other psychotic disorders",NA,1,30,14,NA,1,NA
"247","Screening and history of mental health and substance abuse codes",NA,NA,NA,NA,NA,NA,NA
"248","Secondary malignancies",NA,NA,NA,19,NA,13,NA
"249","Septicemia (except in labor)",8,3,3,11,2,95,NA
"250","Sexually transmitted infections (not HIV or hepatitis)",NA,NA,3,1,NA,NA,NA
"251","Shock",NA,NA,1,1,NA,2,NA
"252","Short gestation; low birth weight; and fetal growth retardation",1,NA,NA,NA,NA,NA,NA
"253","Sickle cell anemia",2,6,15,2,4,NA,NA
"254","Skin and subcutaneous tissue infections",51,50,341,168,44,150,NA
"255","Skull and face fractures",4,2,22,6,3,13,NA
"256","Sleep disorders",NA,NA,NA,NA,NA,NA,NA
"257","Somatoform disorders",NA,NA,NA,NA,NA,NA,NA
"258","Spinal cord injury",NA,NA,NA,NA,NA,NA,NA
"259","Spondylosis; intervertebral disc disorders; other back problems",4,35,751,442,22,246,NA
"260","Spontaneous abortion",NA,NA,64,NA,NA,NA,NA
"261","Sprains and strains",27,123,721,171,84,72,NA
"262","Substance-related disorders",3,NA,35,3,NA,NA,NA
"263","Suicide and intentional self-inflicted injury",NA,15,89,11,NA,2,NA
"264","Superficial injury; contusion",66,56,330,107,100,72,NA
"265","Syncope",1,27,169,103,10,124,1
"266","Systemic lupus erythematosus and connective tissue disorders",1,NA,3,3,NA,NA,NA
"267","Thyroid disorders",1,2,13,10,NA,3,NA
"268","Transient cerebral ischemia",NA,NA,3,7,2,37,NA
"269","Tuberculosis",NA,1,NA,NA,NA,NA,NA
"270","Urinary tract infections",119,25,499,232,67,350,NA
"271","Varicose veins of lower extremity",NA,NA,2,4,NA,5,NA
"272","Viral infection",964,111,707,130,293,63,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA
